(1) CONVERGENCE
word,prob.
ALGORITHM,.018
BOUND,.013
THEOREM,.011
LET,.009
LOSS,.009
BIND,.008
DISTRIBUTION,.008
PROBABILITY,.007
DEFINE,.006
SAMPLE,.006
""
"(2) STATE, POLICY, ACTION"
word,prob.
STATE,.026
POLICY,.016
ACTION,.015
TIME,.011
REWARD,.010
ALGORITHM,.008
MODEL,.008
AGENT,.008
LEARN,.008
LEARNING,.007
""
(3) LINEAR ALGEBRA
word,prob.
MATRIX,.017
ALGORITHM,.017
PROBLEM,.014
METHOD,.010
SOLUTION,.008
VECTOR,.007
POINT,.006
GRADIENT,.006
LINEAR,.006
OPTIMIZATION,.005
""
(4) NLP
word,prob.
KERNEL,.016
DATUM,.014
CLUSTER,.013
WORD,.012
SPACE,.009
DISTANCE,.009
FEATURE,.009
MODEL,.008
POINT,.008
VECTOR,.008
""
(5) INFERENCE
word,prob.
MODEL,.033
DISTRIBUTION,.020
SAMPLE,.012
PARAMETER,.011
DATUM,.011
GAUSSIAN,.010
ESTIMATE,.010
PRIOR,.009
LOG,.009
LIKELIHOOD,.008
""
(6) COMPUTER VISION
word,prob.
IMAGE,.042
OBJECT,.018
MODEL,.017
FEATURE,.015
PIXEL,.008
FIGURE,.008
HUMAN,.006
LEARN,.006
MAP,.005
REPRESENTATION,.005
""
(7) GRAPHICAL MODELS
word,prob.
GRAPH,.018
NODE,.018
TREE,.013
ALGORITHM,.012
MODEL,.009
EDGE,.009
VARIABLE,.009
STRUCTURE,.007
PROBLEM,.006
TIME,.005
""
(8) NEURAL NETWORK LEARNING
word,prob.
TRAINING,.018
DATUM,.015
FEATURE,.013
LABEL,.011
METHOD,.011
CLASSIFICATION,.010
TEST,.010
CLASSIFIER,.010
TASK,.010
LEARNING,.009
""
(9) STIMULUS RESPONSE
word,prob.
NEURON,.012
MODEL,.011
TIME,.010
INPUT,.008
CELL,.007
FIGURE,.007
SPIKE,.007
SIGNAL,.007
RESPONSE,.007
STIMULUS,.006
""
(10) NEURAL NETWORK STRUCTURE
word,prob.
NETWORK,.036
INPUT,.016
LAYER,.015
UNIT,.014
OUTPUT,.013
WEIGHT,.012
NEURAL,.011
TRAINING,.010
LEARN,.007
NEURAL NETWORK,.007
""
